                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.0692,                  3.604,                 1.7599,                0.00555,                0.50012,                0.05418,                 0.0201,                 2.0643,                 3.8519,                  1.924,             0.00020004,             0.00020004,             0.00020004
                      2,                 1.9469,                 3.0085,                 1.6091,                0.00632,                0.51827,                0.04515,                0.01901,                 1.8931,                  3.615,                 1.7088,             0.00041562,             0.00041562,             0.00041562
                      3,                 1.9006,                 2.8471,                 1.5904,                0.00715,                 0.5555,                0.04856,                 0.0164,                  1.994,                 3.5197,                 1.8252,             0.00062661,             0.00062661,             0.00062661
                      4,                  1.885,                 2.7341,                 1.5802,                0.09045,                0.12419,                0.05066,                0.01989,                 2.1114,                  3.299,                 1.8958,             0.00082957,             0.00082957,             0.00082957
                      5,                 1.9281,                 2.6498,                 1.5804,                0.04222,                0.13043,                0.02862,                0.00927,                   2.17,                 3.4942,                  2.088,              0.0010212,              0.0010212,              0.0010212
                      6,                 1.9776,                 2.6027,                 1.5994,                0.04924,                0.09228,                0.03068,                0.01151,                 2.4443,                 3.8666,                 2.1954,              0.0011985,              0.0011985,              0.0011985
                      7,                 1.9679,                 2.6029,                 1.6229,                0.03745,                0.25416,                0.02718,                0.01046,                 2.4788,                 4.7226,                 2.2299,              0.0013585,              0.0013585,              0.0013585
                      8,                 2.0104,                  2.524,                 1.5872,                0.04948,                 0.1102,                 0.0231,                0.00717,                 2.6588,                 5.1516,                 2.2153,              0.0014551,              0.0014551,              0.0014551
                      9,                 1.9568,                 2.5032,                 1.5913,                0.11103,                 0.0686,                0.02965,                0.00926,                 2.6375,                 5.4132,                 2.2824,              0.0014551,              0.0014551,              0.0014551
                     10,                 1.9269,                 2.4941,                 1.5934,                0.11497,                0.22006,                0.06577,                0.02672,                 2.4267,                 5.1119,                 2.1977,               0.001394,               0.001394,               0.001394
