                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.1212,                  4.484,                 3.5758,                  1.757,                0.00564,                0.44531,                0.03809,                 0.0123,                0.00267,                0.23821,                0.00613,                0.00154,                  2.097,                 4.0678,                 3.7815,                 1.8736,             0.00020004,             0.00020004,             0.00020004
                      2,                 1.9933,                 3.8407,                 2.9691,                 1.6133,                0.00725,                0.59389,                0.04743,                 0.0144,                0.00252,                0.20513,                0.00236,                0.00048,                 1.9563,                  3.965,                 3.5919,                 1.7188,               0.000403,               0.000403,               0.000403
                      3,                 1.9137,                 3.6051,                 2.8152,                 1.5743,                0.00739,                0.59366,                0.03113,                0.01245,                0.00228,                0.16698,                0.00506,                0.00202,                 1.9223,                 4.2129,                 3.4817,                  1.763,             0.00059165,             0.00059165,             0.00059165
                      4,                 1.8876,                 3.4876,                 2.6864,                 1.5811,                 0.1422,                0.28747,                0.06095,                0.01947,                0.04375,                0.09494,                0.01088,                0.00261,                  2.192,                 3.7604,                 3.3919,                 1.9113,               0.000766,               0.000766,               0.000766
                      5,                 1.9353,                 3.5424,                 2.6076,                 1.5818,                0.07006,                 0.1087,                0.06869,                0.02325,                0.03667,                0.03261,                0.02317,                0.00966,                 2.1561,                 3.7783,                  3.413,                 1.9767,             0.00092605,             0.00092605,             0.00092605
                      6,                 1.9699,                 3.4323,                  2.533,                 1.5508,                0.06492,                 0.1213,                0.02992,                 0.0094,                0.01001,                0.04059,                0.00336,                0.00085,                 2.3053,                 3.7422,                 3.3891,                 2.0161,              0.0010718,              0.0010718,              0.0010718
                      7,                 1.9422,                 3.3939,                 2.5585,                 1.5818,                0.08075,                0.12327,                0.03766,                0.01218,                0.01728,                0.02706,                0.00399,                0.00125,                 2.2776,                 4.0729,                 3.5003,                  2.122,              0.0012032,              0.0012032,              0.0012032
                      8,                  1.959,                 3.3743,                 2.4849,                 1.5697,                0.09851,                0.12396,                0.04025,                0.01503,                0.05307,                0.06233,                0.01659,                0.00424,                 2.3542,                 4.4246,                 3.9813,                 2.1971,              0.0012819,              0.0012819,              0.0012819
                      9,                 1.9345,                 3.3455,                 2.4196,                 1.5561,                0.12785,                0.12639,                 0.0418,                0.01486,                0.05393,                0.04302,                 0.0074,                0.00153,                 2.4224,                 4.3981,                  3.984,                 2.1541,              0.0012819,              0.0012819,              0.0012819
                     10,                 1.8957,                 3.2543,                 2.4308,                 1.5255,                0.09865,                0.17372,                0.06843,                0.02489,                0.04925,                 0.0836,                0.01129,                0.00205,                 2.3065,                 3.8351,                 3.6101,                 2.0032,              0.0012269,              0.0012269,              0.0012269
