                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7027,                 3.0967,                 6.2609,                 1.1908,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                  1.322,                 2.5013,                  6.408,                 1.1606,              2.982e-05,              2.982e-05,              2.982e-05
                      2,                  1.419,                 2.2665,                 5.8679,                 1.0828,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 1.1927,                 2.1032,                 6.0744,                0.99052,             5.9732e-05,             5.9732e-05,             5.9732e-05
                      3,                 1.4141,                  1.888,                 5.3775,                 1.0442,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 1.1775,                 1.9602,                 5.8856,                0.92383,             8.7534e-05,             8.7534e-05,             8.7534e-05
                      4,                 1.4404,                 1.7768,                 5.0332,                 1.0279,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 1.1632,                 1.9627,                 5.8835,                0.90772,             0.00011323,             0.00011323,             0.00011323
                      5,                 1.3704,                 1.6411,                 4.6636,                0.97627,                0.00029,                0.07143,                0.00043,                0.00021,                0.00029,                0.07143,                0.00043,                 0.0003,                 1.1217,                 1.5928,                  5.791,                0.89523,             0.00013681,             0.00013681,             0.00013681
                      6,                 1.3077,                 1.5422,                 4.1958,                0.98768,                0.00501,                0.14286,                0.00747,                0.00164,                0.00501,                0.14286,                0.00758,                 0.0045,                  1.096,                 1.5124,                 5.7774,                0.89185,             0.00015829,             0.00015829,             0.00015829
                      7,                 1.2097,                 1.4888,                   3.77,                0.97814,                 0.0847,                0.22454,                0.05491,                0.02629,                 0.0847,                0.22454,                0.05491,                0.03677,                 1.0622,                  1.434,                 5.6665,                0.89351,             0.00017083,             0.00017083,             0.00017083
                      8,                 1.1928,                 1.3604,                 3.6632,                 0.9611,                 0.0145,                0.30519,                0.05456,                0.02326,                0.01295,                0.25758,                0.05128,                0.02894,                 1.0364,                 1.3389,                 5.5557,                 0.9038,             0.00017083,             0.00017083,             0.00017083
                      9,                 1.1666,                 1.4501,                 3.6865,                 0.9412,                0.13417,                0.34884,                 0.1053,                0.08684,                0.13352,                0.32503,                0.13675,                 0.0655,                 1.0446,                 1.3091,                 5.4455,                0.90279,              0.0001638,              0.0001638,              0.0001638
                     10,                  1.128,                 1.4353,                  3.372,                0.95229,                0.11549,                0.68643,                0.14886,                0.11566,                0.11392,                0.57929,                0.15051,                0.08333,                 1.0682,                 1.3932,                 5.4261,                0.89613,             0.00015677,             0.00015677,             0.00015677
