                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7152,                 3.1466,                 6.2631,                 1.2044,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 1.2966,                 2.3921,                 6.3442,                 1.1473,              3.108e-05,              3.108e-05,              3.108e-05
                      2,                  1.435,                 2.2274,                 5.8605,                  1.072,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 1.2385,                 2.0024,                 6.0394,                 1.0146,             6.2255e-05,             6.2255e-05,             6.2255e-05
                      3,                 1.3306,                 1.8387,                 5.5224,                 1.0189,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 1.1207,                 1.7737,                 5.8284,                0.91756,             9.1233e-05,             9.1233e-05,             9.1233e-05
                      4,                 1.3221,                 1.8236,                 4.9097,                0.98368,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                  1.135,                 1.9582,                 5.7812,                0.90393,             0.00011801,             0.00011801,             0.00011801
                      5,                 1.3075,                 1.5736,                 4.4615,                0.98043,                0.07277,                0.10752,                0.04112,                0.02639,                0.07277,                0.10752,                0.04138,                0.02413,                 1.1043,                 1.5232,                 5.6449,                0.88954,              0.0001426,              0.0001426,              0.0001426
                      6,                 1.2321,                 1.6401,                 4.0145,                0.94804,                0.09647,                0.11805,                0.05426,                0.03837,                0.09647,                0.11805,                0.05441,                0.02786,                 1.0828,                 1.5189,                 5.5841,                0.89339,             0.00016498,             0.00016498,             0.00016498
                      7,                 1.1903,                 1.4175,                 3.8577,                0.94187,                0.06232,                0.15865,                0.05087,                0.04065,                0.06232,                0.15865,                0.05087,                0.02679,                 1.0507,                 1.3303,                 5.4555,                0.89274,             0.00017804,             0.00017804,             0.00017804
                      8,                  1.137,                 1.5335,                 3.7053,                0.93193,                0.05157,                0.36692,                0.07656,                0.04284,                0.05157,                0.36692,                0.07656,                0.04452,                 1.1114,                 1.2576,                  5.348,                0.89807,             0.00017804,             0.00017804,             0.00017804
                      9,                 1.1069,                 1.4307,                 3.3885,                0.90908,                0.05948,                0.41182,                0.10128,                0.06327,                0.05912,                0.39753,                0.09958,                0.06378,                 1.0674,                 1.2128,                  5.292,                0.89091,             0.00017072,             0.00017072,             0.00017072
                     10,                 1.0976,                 1.2774,                  3.297,                0.92697,                0.04826,                0.51386,                0.10451,                0.07568,                0.04785,                0.49957,                0.10303,                0.06294,                 1.0924,                 1.3088,                 5.2868,                0.89529,             0.00016339,             0.00016339,             0.00016339
