                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.1136,                 4.4871,                 3.5757,                 1.7538,                0.00607,                0.54532,                0.03422,                0.01012,                0.00247,                0.30349,                0.00608,                0.00134,                 2.0786,                 4.0638,                 3.8166,                 1.9136,             0.00020004,             0.00020004,             0.00020004
                      2,                 1.9769,                  3.851,                  2.991,                 1.6333,                0.00722,                0.59558,                0.04564,                0.01515,                0.00304,                0.26708,                0.00374,                0.00088,                 2.0475,                 3.7519,                 3.6775,                 1.8199,               0.000403,               0.000403,               0.000403
                      3,                 1.9463,                 3.5873,                 2.8239,                   1.63,                0.00696,                0.59323,                0.02218,                0.00819,                0.00263,                0.21831,                0.00265,                0.00064,                  2.034,                 4.0215,                 3.5793,                 1.8348,             0.00059165,             0.00059165,             0.00059165
                      4,                 1.9083,                  3.491,                 2.6881,                 1.5817,                0.06849,                0.09225,                0.04264,                0.01501,                0.03394,                0.03525,                0.01204,                0.00192,                 2.1719,                  3.914,                 3.5986,                 1.9918,               0.000766,               0.000766,               0.000766
                      5,                 1.9443,                 3.5068,                 2.5543,                  1.578,                0.63993,                0.06522,                0.04563,                0.01407,                0.58576,                0.04348,                0.01823,                0.00392,                 2.2689,                 4.5234,                 4.1913,                 2.3998,             0.00092605,             0.00092605,             0.00092605
                      6,                 1.9756,                 3.4614,                 2.5418,                 1.5691,                0.05307,                0.15982,                0.02181,                0.00782,                0.03786,                0.02174,                0.00692,                0.00152,                  2.239,                 4.2508,                 3.6809,                 2.1525,              0.0010718,              0.0010718,              0.0010718
                      7,                 1.9632,                 3.4554,                 2.5228,                  1.586,                0.21876,                0.11059,                0.07274,                0.02259,                0.02425,                0.02174,                0.01634,                0.00478,                 2.3388,                 4.3962,                 3.4692,                 2.2134,              0.0012032,              0.0012032,              0.0012032
                      8,                 1.9943,                 3.4077,                 2.4858,                 1.5712,                0.10535,                0.10312,                0.04418,                0.01619,                0.09914,                0.07051,                0.01522,                0.00328,                 2.3513,                 3.9251,                 3.4268,                 2.2263,              0.0012819,              0.0012819,              0.0012819
                      9,                 1.9291,                 3.3956,                 2.4216,                 1.5432,                0.10168,                0.12957,                0.04041,                0.01466,                0.03112,                0.05906,                0.00873,                0.00232,                 2.4752,                 4.1852,                 3.9563,                 2.3603,              0.0012819,              0.0012819,              0.0012819
                     10,                 1.9001,                 3.2924,                 2.4167,                 1.5478,                0.07152,                0.11755,                0.04414,                0.01626,                0.04762,                0.04555,                0.00814,                0.00202,                 2.4627,                 4.3028,                 3.5354,                 2.3329,              0.0012269,              0.0012269,              0.0012269
                     11,                 1.8605,                 3.1642,                 2.3558,                 1.5139,                0.15404,                0.11341,                0.07611,                0.02536,                0.07184,                0.05113,                0.00985,                0.00259,                 2.5197,                 4.2662,                 6.3494,                 2.2103,              0.0011719,              0.0011719,              0.0011719
                     12,                 1.9399,                 3.1684,                 2.3513,                 1.5617,                0.14469,                0.16575,                0.07922,                0.03147,                0.14375,                0.08287,                0.03453,                0.00648,                 2.2916,                 3.8062,                 4.5148,                 1.9721,              0.0011169,              0.0011169,              0.0011169
                     13,                 1.8619,                  3.171,                 2.2776,                 1.4955,                0.12959,                0.26829,                0.09108,                0.03718,                0.10169,                0.07729,                0.03437,                0.00821,                 2.1785,                 3.2975,                  4.063,                 1.8491,              0.0010619,              0.0010619,              0.0010619
